Text,Polarity
কুরআন শরিফে খুব সুন্দার করে এর বর্ননা দেওয়া হয়েছে ,positive
 আললা তাদের বেহশত দান করুন আমিন ,positive
 তামিম ভাই আপনাকে ধন্যবাদ একশ রান করার জন্য,positive
ইউরোপ থেকে ভারত পর্যন্ত বহু দেশের কম্পিউটারে হ্যাকারদের আক্রমণ ,negative
এর মধ্যে এমন সফটওয়্যার আছে যা পরবর্তীতে ব্রিটেন কিংবা তার বন্ধু রাষ্ট্রের বিরুদ্ধেও ব্যবহার করা হতে পারে বলে আশঙ্কা থেকে যায় ,negative
হার্ডডিস্কের দাম বাড়ার কারণে বিভিন্ন ডেস্কটপ কম্পিউটারের দামও বেড়েছে বলে মনে করেন তিনি,negative
এ কারণে আন্তর্জাতিক বাজারে হার্ডডিস্কের সংকট চলছে ,negative
হার্ডডিস্ক ড্রাইভ তৈরির কারখানা ডুবে গেছে ,negative
খাদ্য মন্ত্রণালয়ের জবাবদিহি কোথায় তবু চালের দাম কেন বাড়ছে  ,negative
পাইকারি বাজারে প্রযুক্তিপণ্যের দাম বাড়ার প্রভাব পড়েছে খুচরা বাজারেও ,negative
 মেয়াদ মাস হলে ভালো হতো ,positive
 সেরার বাচ্চা সেরা হাসিটা পৃথিবীর যে কোন সুন্দর হাসি কে হারিয়ে দিবে ,positive
আল্লাহ আমাদের সবাইকে সঠিক কাজ করার তৌফিক দান করুক ,positive
"মোয়াল্লেমরা জানান, কাল এশার নামাজ আদায় করে মিনার উদ্দেশে রওনা দেবেন",positive
য় দিন পরে আবার হাজিরা বাসায় ফিরবেন,positive
"প্রত্যেক হজযাত্রীকে নিজ নিজ মোয়াল্লেম কার্যালয় থেকে জানিয়ে দেওয়া হয়েছে, কখন মিনার উদ্দেশে রওনা দেওয়া হবে",positive
হাজিরা ৮ জিলহজ (শুক্রবার) মিনায় সারা দিন থাকবেন,positive
৯ জিলহজ (শনিবার) ফজরের নামাজ আদায় করে প্রায় ১৪ কিলোমিটার দূরে আরাফাতের ময়দানে সূর্যাস্ত পর্যন্ত অবস্থান করবেন,positive
" মিনায় এসে বড় জামারাকে কঙ্কর নিক্ষেপ, কোরবানি ও মাথা মুণ্ডন বা চুল ছেঁটে স্বাভাবিক পোশাকে মক্কায় কাবা শরিফ তাওয়াফ করবেন",positive
মিনায় হাজিদের জন্য নির্দিষ্ট জায়গায় মোয়াল্লেম আছেন,positive
শুধু দক্ষিণ এশিয়ার হজযাত্রীদের জন্য ১ থেকে শুরু করে ১৩৭ নম্বর পর্যন্ত মোয়াল্লেম আছেন,positive
সে টুর্নামেন্টে দেশের সেরা ব্যাটসম্যানের খেলা দেখার জন্য ব্যাকুল পাকিস্তানিরা সমারসেটের ওয়েবসাইটই ধসিয়ে দিয়েছে,negative
টি-টোয়েন্টি র‍্যাঙ্কিংয়ের এক নম্বর ব্যাটসম্যানের খেলা দেখার জন্য লাখে-লাখে পাকিস্তানি সমর্থক সমারসেটের ওয়েবসাইটে ঢুঁ মারছেন,positive
সমারসেট নিজেদের ম্যাচগুলো ক্লাবের ওয়েবসাইটে সরাসরি সম্প্রচার (লাইভ স্ট্রিমিং) করে,positive
নিজের দেশের সেরা ব্যাটসম্যান এমন একটা টুর্নামেন্টে খেলতে গেছেন বলেই পাকিস্তানিদের আগ্রহ ছিল তুঙ্গে,positive
বিশেষ করে ওই টুর্নামেন্ট বাবর দারুণ সব ইনিংস খেলছেন,positive
এত এত ভিজিটরের ভিউ সামলানোর ব্যবস্থা সমারসেট তাদের সাইটে রাখেনি,negative
এত মানুষ তো একসঙ্গে তাদের সাইটে আগে ভিড় করেনি কখনো,negative
প্রয়োজনই যে পড়েনি আগে,negative
ফলে এবার দর্শনার্থীদের চাপ সামলাতে না পেরে ধসে পড়ে সমারসেটের ওয়েবসাইট,negative
